# Stiffness Convergence Analysis
Does Lp approach 50nm as we select perfect crystals?

| Eta_r Threshold | Sample Size | Predicted Lp (nm) |
|---|---|---|
| > 0.700 | 5441 | **7.23** |
| > 0.715 | 5268 | **7.56** |
| > 0.729 | 5041 | **8.11** |
| > 0.744 | 4845 | **8.61** |
| > 0.759 | 4572 | **9.25** |
| > 0.774 | 4285 | **9.94** |
| > 0.788 | 3955 | **10.98** |
| > 0.803 | 3622 | **12.43** |
| > 0.818 | 3312 | **13.70** |
| > 0.833 | 3028 | **14.78** |
| > 0.847 | 2766 | **15.96** |
| > 0.862 | 2503 | **16.78** |
| > 0.877 | 2216 | **18.07** |
| > 0.892 | 1873 | **20.29** |
| > 0.906 | 1536 | **22.75** |
| > 0.921 | 1219 | **26.46** |
| > 0.936 | 953 | **37.69** |
| > 0.951 | 688 | **58.48** |
| > 0.965 | 459 | **393.05** |
| > 0.980 | 271 | **657.44** |
